date;disel_type1_price;disel_type2_price;disel_type3_price
2016-01-01;3.6792;3.6152;2.5904
2016-01-02;3.6792;3.6152;2.5904
2016-01-03;3.6792;3.6152;2.5904
2016-01-04;3.6792;3.6152;2.5904
2016-01-05;3.6736;3.6096;2.5896
2016-01-06;3.684;3.62;2.6024
2016-01-07;3.684;3.62;2.6024
2016-01-08;3.6776;3.6136;2.6176
2016-01-09;3.6552;3.5912;2.6032
2016-01-10;3.6552;3.5912;2.6032
2016-01-11;3.6552;3.5912;2.6032
2016-01-12;3.6064;3.5424;2.5912
2016-01-13;3.5912;3.5272;2.5704
2016-01-14;3.5776;3.5136;2.5512
2016-01-15;3.5656;3.5016;2.5296
2016-01-16;3.5672;3.5032;2.5184
2016-01-17;3.5672;3.5032;2.5184
2016-01-18;3.5672;3.5032;2.5184
2016-01-19;3.5608;3.4968;2.5104
2016-01-20;3.5528;3.4888;2.5024
2016-01-21;3.4936;3.4296;2.484
2016-01-22;3.5152;3.4512;2.4744
2016-01-23;3.5672;3.5032;2.528
2016-01-24;3.5672;3.5032;2.528
2016-01-25;3.5672;3.5032;2.528
2016-01-26;3.5904;3.5264;2.5232
2016-01-27;3.592;3.528;2.536
2016-01-28;3.608;3.544;2.5568
2016-01-29;3.6336;3.5696;2.6032
2016-01-30;3.6392;3.5752;2.6024
2016-01-31;3.6392;3.5752;2.6024
2016-02-01;3.6392;3.5752;2.6024
2016-02-02;3.644;3.58;2.596
2016-02-03;3.6296;3.5656;2.5856
2016-02-04;3.628;3.564;2.584
2016-02-05;3.6336;3.5696;2.5864
2016-02-06;3.6408;3.5768;2.576
2016-02-07;3.6408;3.5768;2.576
2016-02-08;3.6408;3.5768;2.576
2016-02-09;3.6352;3.5712;2.5736
2016-02-10;3.6144;3.5504;2.564
2016-02-11;3.5856;3.5216;2.5456
2016-02-12;3.5504;3.4864;2.5
2016-02-13;3.5704;3.5064;2.508
2016-02-14;3.5704;3.5064;2.508
2016-02-15;3.5704;3.5064;2.508
2016-02-16;3.5832;3.5192;2.532
2016-02-17;3.5896;3.5256;2.552
2016-02-18;3.612;3.548;2.564
2016-02-19;3.6336;3.5696;2.5736
2016-02-20;3.6256;3.5616;2.576
2016-02-21;3.6256;3.5616;2.576
2016-02-22;3.6256;3.5616;2.576
2016-02-23;3.6352;3.5712;2.572
2016-02-24;3.6152;3.5512;2.5576
2016-02-25;3.6184;3.5544;2.556
2016-02-26;3.624;3.56;2.5504
2016-02-27;3.6352;3.5712;2.5696
2016-02-28;3.6352;3.5712;2.5696
2016-02-29;3.6352;3.5712;2.5696
2016-03-01;3.644;3.58;2.5912
2016-03-02;3.6568;3.5928;2.608
2016-03-03;3.672;3.608;2.6192
2016-03-04;3.684;3.62;2.6248
2016-03-05;3.692;3.628;2.6344
2016-03-06;3.692;3.628;2.6344
2016-03-07;3.692;3.628;2.6344
2016-03-08;3.708;3.644;2.6528
2016-03-09;3.724;3.66;2.6744
2016-03-10;3.7376;3.6736;2.696
2016-03-11;3.7584;3.6944;2.6824
2016-03-12;3.7584;3.6944;2.6904
2016-03-13;3.7584;3.6944;2.6904
2016-03-14;3.7584;3.6944;2.6904
2016-03-15;3.7416;3.6776;2.68
2016-03-16;3.728;3.664;2.6672
2016-03-17;3.7264;3.6624;2.66
2016-03-18;3.7416;3.6776;2.6592
2016-03-19;3.7568;3.6928;2.6584
2016-03-20;3.7568;3.6928;2.6584
2016-03-21;3.7568;3.6928;2.6584
2016-03-22;3.7536;3.6896;2.6648
2016-03-23;3.7536;3.6896;2.6744
2016-03-24;3.7448;3.6808;2.672
2016-03-25;3.7376;3.6736;2.664
2016-03-26;3.7376;3.6736;2.664
2016-03-27;3.7376;3.6736;2.664
2016-03-28;3.7376;3.6736;2.664
2016-03-29;3.7376;3.6736;2.664
2016-03-30;3.712;3.648;2.648
2016-03-31;3.7008;3.6368;2.636
2016-04-01;3.6976;3.6336;2.624
2016-04-02;3.6864;3.6224;2.6048
2016-04-03;3.6864;3.6224;2.6048
2016-04-04;3.6864;3.6224;2.6048
2016-04-05;3.6664;3.6024;2.5872
2016-04-06;3.6328;3.5688;2.5712
2016-04-07;3.6312;3.5672;2.5616
2016-04-08;3.6304;3.5664;2.5448
2016-04-09;3.6656;3.6016;2.5576
2016-04-10;3.6656;3.6016;2.5576
2016-04-11;3.6656;3.6016;2.5576
2016-04-12;3.68;3.616;2.5744
2016-04-13;3.656;3.592;2.6056
2016-04-14;3.7008;3.6368;2.6304
2016-04-15;3.7288;3.6648;2.6632
2016-04-16;3.7296;3.6656;2.6736
2016-04-17;3.7296;3.6656;2.6736
2016-04-18;3.7296;3.6656;2.6736
2016-04-19;3.7288;3.6648;2.6848
2016-04-20;3.7272;3.6632;2.704
2016-04-21;3.74;3.676;2.712
2016-04-22;3.7568;3.6928;2.72
2016-04-23;3.7744;3.7104;2.7376
2016-04-24;3.7744;3.7104;2.7376
2016-04-25;3.7744;3.7104;2.7376
2016-04-26;3.7896;3.7256;2.7552
2016-04-27;3.8128;3.7488;2.7712
2016-04-28;3.8224;3.7584;2.7848
2016-04-29;3.8488;3.7848;2.8016
2016-04-30;3.8648;3.8008;2.8128
2016-05-01;3.8648;3.8008;2.8128
2016-05-02;3.8648;3.8008;2.8128
2016-05-03;3.8648;3.8008;2.8128
2016-05-04;3.8648;3.8008;2.8128
2016-05-05;3.8256;3.7616;2.808
2016-05-06;3.836;3.772;2.8048
2016-05-07;3.84;3.776;2.784
2016-05-08;3.84;3.776;2.784
2016-05-09;3.84;3.776;2.784
2016-05-10;3.8064;3.7424;2.7688
2016-05-11;3.824;3.76;2.7728
2016-05-12;3.8464;3.7824;2.788
2016-05-13;3.872;3.808;2.7976
2016-05-14;3.892;3.828;2.8088
2016-05-15;3.892;3.828;2.8088
2016-05-16;3.892;3.828;2.8088
2016-05-17;3.9064;3.8424;2.8344
2016-05-18;3.9256;3.8616;2.8536
2016-05-19;3.9464;3.8824;2.8712
2016-05-20;3.948;3.884;2.884
2016-05-21;3.9576;3.8936;2.9008
2016-05-22;3.9576;3.8936;2.9008
2016-05-23;3.9576;3.8936;2.9008
2016-05-24;3.9568;3.8928;2.9144
2016-05-25;3.98;3.916;2.9312
2016-05-26;3.9928;3.9288;2.9376
2016-05-27;3.9928;3.9288;2.9376
2016-05-28;4.0008;3.9368;2.9536
2016-05-29;4.0008;3.9368;2.9536
2016-05-30;4.0008;3.9368;2.9536
2016-05-31;4.0008;3.9368;2.9536
2016-06-01;3.9984;3.9344;2.9576
2016-06-02;3.9944;3.9304;2.9496
2016-06-03;3.9936;3.9296;2.9456
2016-06-04;3.9864;3.9224;2.9432
2016-06-05;3.9864;3.9224;2.9432
2016-06-06;3.9864;3.9224;2.9432
2016-06-07;3.9784;3.9144;2.9368
2016-06-08;3.9736;3.9096;2.9312
2016-06-09;3.9768;3.9128;2.9328
2016-06-10;3.9824;3.9184;2.9296
2016-06-11;3.9816;3.9176;2.9264
2016-06-12;3.9816;3.9176;2.9264
2016-06-13;3.9816;3.9176;2.9264
2016-06-14;3.9792;3.9152;2.9304
2016-06-15;3.9784;3.9144;2.932
2016-06-16;3.976;3.912;2.9272
2016-06-17;3.956;3.892;2.9176
2016-06-18;3.9472;3.8832;2.9152
2016-06-19;3.9472;3.8832;2.9152
2016-06-20;3.9472;3.8832;2.9152
2016-06-21;3.9488;3.8848;2.9136
2016-06-22;3.9608;3.8968;2.9104
2016-06-23;3.968;3.904;2.9088
2016-06-24;3.9656;3.9016;2.9152
2016-06-25;3.9696;3.9056;2.92
2016-06-26;3.9696;3.9056;2.92
2016-06-27;3.9696;3.9056;2.92
2016-06-28;3.9624;3.8984;2.9136
2016-06-29;3.9592;3.8952;2.912
2016-06-30;3.9712;3.9072;2.92
2016-07-01;3.984;3.92;2.924
2016-07-02;3.9832;3.9192;2.9184
2016-07-03;3.9832;3.9192;2.9184
2016-07-04;3.9832;3.9192;2.9184
2016-07-05;3.9696;3.9056;2.9232
2016-07-06;3.9504;3.8864;2.9176
2016-07-07;3.9416;3.8776;2.9032
2016-07-08;3.9296;3.8656;2.8912
2016-07-09;3.9232;3.8592;2.88
2016-07-10;3.9232;3.8592;2.88
2016-07-11;3.9232;3.8592;2.88
2016-07-12;3.9168;3.8528;2.8656
2016-07-13;3.9128;3.8488;2.8656
2016-07-14;3.8976;3.8336;2.8512
2016-07-15;3.888;3.824;2.8416
2016-07-16;3.8768;3.8128;2.84
2016-07-17;3.8768;3.8128;2.84
2016-07-18;3.8768;3.8128;2.84
2016-07-19;3.8784;3.8144;2.8352
2016-07-20;3.88;3.816;2.8264
2016-07-21;3.8872;3.8232;2.8336
2016-07-22;3.8944;3.8304;2.8344
2016-07-23;3.8848;3.8208;2.8264
2016-07-24;3.8848;3.8208;2.8264
2016-07-25;3.8848;3.8208;2.8264
2016-07-26;3.8632;3.7992;2.8192
2016-07-27;3.844;3.78;2.8104
2016-07-28;3.836;3.772;2.7952
2016-07-29;3.8216;3.7576;2.7752
2016-07-30;3.8064;3.7424;2.7608
2016-07-31;3.8064;3.7424;2.7608
2016-08-01;3.8064;3.7424;2.7608
2016-08-02;3.7808;3.7168;2.74
2016-08-03;3.7648;3.7008;2.72
2016-08-04;3.7552;3.6912;2.704
2016-08-05;3.7624;3.6984;2.6976
2016-08-06;3.7736;3.7096;2.6952
2016-08-07;3.7736;3.7096;2.6952
2016-08-08;3.7736;3.7096;2.6952
2016-08-09;3.7928;3.7288;2.7408
2016-08-10;3.8096;3.7456;2.7624
2016-08-11;3.8144;3.7504;2.7544
2016-08-12;3.8224;3.7584;2.7856
2016-08-13;3.8344;3.7704;2.8024
2016-08-14;3.8344;3.7704;2.8024
2016-08-15;3.8344;3.7704;2.8024
2016-08-16;3.8344;3.7704;2.8024
2016-08-17;3.8816;3.8176;2.8432
2016-08-18;3.8976;3.8336;2.856
2016-08-19;3.912;3.848;2.8824
2016-08-20;3.9232;3.8592;2.8832
2016-08-21;3.9232;3.8592;2.8832
2016-08-22;3.9232;3.8592;2.8832
2016-08-23;3.9296;3.8656;2.88
2016-08-24;3.94;3.876;2.8848
2016-08-25;3.9304;3.8664;2.8784
2016-08-26;3.944;3.88;2.88
2016-08-27;3.9664;3.9024;2.888
2016-08-28;3.9664;3.9024;2.888
2016-08-29;3.9664;3.9024;2.888
2016-08-30;3.9664;3.9024;2.888
2016-08-31;3.9776;3.9136;2.8856
2016-09-01;3.9688;3.9048;2.8768
2016-09-02;3.9752;3.9112;2.8808
2016-09-03;3.9704;3.9064;2.8744
2016-09-04;3.9704;3.9064;2.8744
2016-09-05;3.9704;3.9064;2.8744
2016-09-06;3.9648;3.9008;2.8664
2016-09-07;3.96;3.896;2.8584
2016-09-08;3.9568;3.8928;2.8568
2016-09-09;3.9824;3.9184;2.8888
2016-09-10;3.9728;3.9088;2.8824
2016-09-11;3.9728;3.9088;2.8824
2016-09-12;3.9728;3.9088;2.8824
2016-09-13;3.9752;3.9112;2.8832
2016-09-14;3.968;3.904;2.8768
2016-09-15;3.96;3.896;2.8696
2016-09-16;3.952;3.888;2.8616
2016-09-17;3.9456;3.8816;2.8544
2016-09-18;3.9456;3.8816;2.8544
2016-09-19;3.9456;3.8816;2.8544
2016-09-20;3.9576;3.8936;2.8616
2016-09-21;3.948;3.884;2.8512
2016-09-22;3.94;3.876;2.8608
2016-09-23;3.9504;3.8864;2.8672
2016-09-24;3.9512;3.8872;2.868
2016-09-25;3.9512;3.8872;2.868
2016-09-26;3.9512;3.8872;2.868
2016-09-27;3.9504;3.8864;2.8696
2016-09-28;3.9184;3.8544;2.8584
2016-09-29;3.916;3.852;2.8552
2016-09-30;3.9768;3.9128;2.9192
2016-10-01;3.9872;3.9232;2.9296
2016-10-02;3.9872;3.9232;2.9296
2016-10-03;3.9872;3.9232;2.9296
2016-10-04;3.9872;3.9232;2.9256
2016-10-05;4.0152;3.9512;2.9504
2016-10-06;4.0312;3.9672;2.9648
2016-10-07;4.0392;3.9752;2.9776
2016-10-08;4.0384;3.9744;2.9768
2016-10-09;4.0384;3.9744;2.9768
2016-10-10;4.0384;3.9744;2.9768
2016-10-11;4.0552;3.9912;2.9928
2016-10-12;4.0528;3.9888;2.988
2016-10-13;4.052;3.988;2.9848
2016-10-14;4.0592;3.9952;2.9944
2016-10-15;4.0528;3.9888;2.9856
2016-10-16;4.0528;3.9888;2.9856
2016-10-17;4.0528;3.9888;2.9856
2016-10-18;4.06;3.996;2.9848
2016-10-19;4.0584;3.9944;2.9848
2016-10-20;4.0952;4.0312;3.0232
2016-10-21;4.0808;4.0168;3.0088
2016-10-22;4.0816;4.0176;3.02
2016-10-23;4.0816;4.0176;3.02
2016-10-24;4.0816;4.0176;3.02
2016-10-25;4.0744;4.0104;3.0184
2016-10-26;4.0704;4.0064;3.0144
2016-10-27;4.0648;4.0008;3.0104
2016-10-28;4.068;4.004;3.016
2016-10-29;4.0672;4.0032;3.0112
2016-10-30;4.0672;4.0032;3.0112
2016-10-31;4.0672;4.0032;3.0112
2016-11-01;4.0488;3.9848;2.9936
2016-11-02;4.0488;3.9848;2.9936
2016-11-03;3.9744;3.9104;2.9536
2016-11-04;3.948;3.884;2.924
2016-11-05;3.9304;3.8664;2.8936
2016-11-06;3.9304;3.8664;2.8936
2016-11-07;3.9304;3.8664;2.8936
2016-11-08;3.9272;3.8632;2.8784
2016-11-09;3.9304;3.8664;2.8744
2016-11-10;3.9328;3.8688;2.8768
2016-11-11;3.9416;3.8776;2.896
2016-11-12;3.9416;3.8776;2.896
2016-11-13;3.9416;3.8776;2.896
2016-11-14;3.9416;3.8776;2.896
2016-11-15;3.9352;3.8712;2.8848
2016-11-16;3.9504;3.8864;2.9232
2016-11-17;3.9704;3.9064;2.9528
2016-11-18;3.996;3.932;2.9576
2016-11-19;4.0152;3.9512;2.9808
2016-11-20;4.0152;3.9512;2.9808
2016-11-21;4.0152;3.9512;2.9808
2016-11-22;4.0416;3.9776;3.036
2016-11-23;4.0624;3.9984;3.0296
2016-11-24;4.0752;4.0112;3.0288
2016-11-25;4.0808;4.0168;3.036
2016-11-26;4.072;4.008;3.0232
2016-11-27;4.072;4.008;3.0232
2016-11-28;4.072;4.008;3.0232
2016-11-29;4.0696;4.0056;3.0192
2016-11-30;4.0536;3.9896;3.0104
2016-12-01;4.0656;4.0016;3.0384
2016-12-02;4.1;4.036;3.1168
2016-12-03;4.1488;4.0848;3.1352
2016-12-04;4.1488;4.0848;3.1352
2016-12-05;4.1488;4.0848;3.1352
2016-12-06;4.184;4.12;3.1456
2016-12-07;4.1792;4.1152;3.1304
2016-12-08;4.1664;4.1024;3.1192
2016-12-09;4.1448;4.0808;3.108
2016-12-10;4.1512;4.0872;3.1088
2016-12-11;4.1512;4.0872;3.1088
2016-12-12;4.1512;4.0872;3.1088
2016-12-13;4.1752;4.1112;3.1696
2016-12-14;4.2048;4.1408;3.156
2016-12-15;4.2048;4.1408;3.152
2016-12-16;4.2016;4.1376;3.1456
2016-12-17;4.2096;4.1456;3.1712
2016-12-18;4.2096;4.1456;3.1712
2016-12-19;4.2096;4.1456;3.1712
2016-12-20;4.2112;4.1472;3.1664
2016-12-21;4.2288;4.1648;3.1848
2016-12-22;4.2264;4.1624;3.1776
2016-12-23;4.2232;4.1592;3.1736
2016-12-24;4.212;4.148;3.168
2016-12-25;4.212;4.148;3.168
2016-12-26;4.212;4.148;3.168
2016-12-27;4.212;4.148;3.168
2016-12-28;4.212;4.148;3.168
2016-12-29;4.2264;4.1624;3.2072
2016-12-30;4.2384;4.1744;3.2088
2016-12-31;4.244;4.18;3.2024
2017-01-01;4.2224;4.1584;3.1824
2017-01-02;4.2224;4.1584;3.1824
2017-01-03;4.2224;4.1584;3.1824
2017-01-04;4.2184;4.1544;3.1792
2017-01-05;4.2104;4.1464;3.1736
2017-01-06;4.196;4.132;3.1624
2017-01-07;4.196;4.132;3.1624
2017-01-08;4.196;4.132;3.1624
2017-01-09;4.196;4.132;3.1624
2017-01-10;4.2216;4.1176;3.1472
2017-01-11;4.2016;4.0976;3.128
2017-01-12;4.2344;4.0904;3.1192
2017-01-13;4.2352;4.0912;3.12
2017-01-14;4.228;4.084;3.1144
2017-01-15;4.228;4.084;3.1144
2017-01-16;4.228;4.084;3.1144
2017-01-17;4.2272;4.0832;3.1232
2017-01-18;4.2264;4.0824;3.1216
2017-01-19;4.22;4.076;3.1152
2017-01-20;4.2112;4.0672;3.1088
2017-01-21;4.216;4.072;3.1192
2017-01-22;4.216;4.072;3.1192
2017-01-23;4.216;4.072;3.1192
2017-01-24;4.2152;4.0712;3.1104
2017-01-25;4.22;4.076;3.1112
2017-01-26;4.2192;4.0752;3.1088
2017-01-27;4.2256;4.0816;3.1232
2017-01-28;4.22;4.076;3.1096
2017-01-29;4.22;4.076;3.1096
2017-01-30;4.22;4.076;3.1096
2017-01-31;4.2152;4.0712;3.1056
2017-02-01;4.2184;4.0744;3.116
2017-02-02;4.2192;4.0752;3.1152
2017-02-03;4.2208;4.0768;3.1128
2017-02-04;4.2192;4.0752;3.112
2017-02-05;4.2192;4.0752;3.112
2017-02-06;4.2192;4.0752;3.112
2017-02-07;4.2176;4.0736;3.1096
2017-02-08;4.2096;4.0656;3.1048
2017-02-09;4.212;4.068;3.1136
2017-02-10;4.2128;4.0688;3.1104
2017-02-11;4.2232;4.0792;3.1384
2017-02-12;4.2232;4.0792;3.1384
2017-02-13;4.2232;4.0792;3.1384
2017-02-14;4.2184;4.0744;3.1216
2017-02-15;4.2208;4.0768;3.1248
2017-02-16;4.224;4.08;3.1256
2017-02-17;4.2208;4.0768;3.1208
2017-02-18;4.2176;4.0736;3.1184
2017-02-19;4.2176;4.0736;3.1184
2017-02-20;4.2176;4.0736;3.1184
2017-02-21;4.2232;4.0792;3.1328
2017-02-22;4.232;4.088;3.1544
2017-02-23;4.2296;4.0856;3.1368
2017-02-24;4.2376;4.0936;3.1464
2017-02-25;4.2344;4.0904;3.136
2017-02-26;4.2344;4.0904;3.136
2017-02-27;4.2344;4.0904;3.136
2017-02-28;4.2344;4.0904;3.136
2017-03-01;4.2272;4.0832;3.1304
2017-03-02;4.232;4.088;3.1352
2017-03-03;4.2256;4.0816;3.1216
2017-03-04;4.2216;4.0776;3.1176
2017-03-05;4.2216;4.0776;3.1176
2017-03-06;4.2216;4.0776;3.1176
2017-03-07;4.216;4.072;3.1104
2017-03-08;4.216;4.072;3.1096
2017-03-09;4.212;4.068;3.1024
2017-03-10;4.1888;4.0448;3.0888
2017-03-11;4.1608;4.0168;3.0728
2017-03-12;4.1608;4.0168;3.0728
2017-03-13;4.1608;4.0168;3.0728
2017-03-14;4.1336;3.9896;3.0552
2017-03-15;4.1176;3.9736;3.0312
2017-03-16;4.1152;3.9712;3.0144
2017-03-17;4.1096;3.9656;3.0072
2017-03-18;4.1032;3.9592;3.0008
2017-03-19;4.1032;3.9592;3.0008
2017-03-20;4.1032;3.9592;3.0008
2017-03-21;4.1016;3.9576;2.9976
2017-03-22;4.092;3.948;2.9912
2017-03-23;4.0824;3.9384;2.9808
2017-03-24;4.0784;3.9344;2.9728
2017-03-25;4.0712;3.9272;2.9648
2017-03-26;4.0712;3.9272;2.9648
2017-03-27;4.0712;3.9272;2.9648
2017-03-28;4.0696;3.9256;2.956
2017-03-29;4.0728;3.9288;2.964
2017-03-30;4.0816;3.9376;2.9768
2017-03-31;4.0976;3.9536;2.9952
2017-04-01;4.108;3.964;2.9968
2017-04-02;4.108;3.964;2.9968
2017-04-03;4.108;3.964;2.9968
2017-04-04;4.1208;3.9768;3.0072
2017-04-05;4.1312;3.9872;3.0328
2017-04-06;4.144;4;3.0368
2017-04-07;4.1624;4.0184;3.0448
2017-04-08;4.1712;4.0272;3.052
2017-04-09;4.1712;4.0272;3.052
2017-04-10;4.1712;4.0272;3.052
2017-04-11;4.2056;4.0616;3.0792
2017-04-12;4.2032;4.0592;3.0792
2017-04-13;4.2128;4.0688;3.0912
2017-04-14;4.2104;4.0664;3.088
2017-04-15;4.2104;4.0664;3.088
2017-04-16;4.2104;4.0664;3.088
2017-04-17;4.2104;4.0664;3.088
2017-04-18;4.2104;4.0664;3.088
2017-04-19;4.2024;4.0584;3.08
2017-04-20;4.1944;4.0504;3.072
2017-04-21;4.1824;4.0384;3.0592
2017-04-22;4.1656;4.0216;3.0408
2017-04-23;4.1656;4.0216;3.0408
2017-04-24;4.1656;4.0216;3.0408
2017-04-25;4.1432;3.9992;3.0176
2017-04-26;4.1032;3.9592;2.9968
2017-04-27;4.0936;3.9496;2.9816
2017-04-28;4.08;3.936;2.9632
2017-04-29;4.0728;3.9288;2.948
2017-04-30;4.0728;3.9288;2.948
2017-05-01;4.0728;3.9288;2.948
2017-05-02;4.0728;3.9288;2.948
2017-05-03;4.0568;3.9128;2.936
2017-05-04;4.0568;3.9128;2.936
2017-05-05;4.0224;3.8784;2.9
2017-05-06;4.008;3.864;2.888
2017-05-07;4.008;3.864;2.888
2017-05-08;4.008;3.864;2.888
2017-05-09;4;3.856;2.8728
2017-05-10;4.004;3.86;2.876
2017-05-11;4.0144;3.8704;2.9024
2017-05-12;4.0344;3.8904;2.9152
2017-05-13;4.0488;3.9048;2.9184
2017-05-14;4.0488;3.9048;2.9184
2017-05-15;4.0488;3.9048;2.9184
2017-05-16;4.0576;3.9136;2.9304
2017-05-17;4.0544;3.9104;2.9216
2017-05-18;4.0552;3.9112;2.924
2017-05-19;4.0568;3.9128;2.9264
2017-05-20;4.064;3.92;2.9424
2017-05-21;4.064;3.92;2.9424
2017-05-22;4.064;3.92;2.9424
2017-05-23;4.068;3.924;2.948
2017-05-24;4.0688;3.9248;2.9448
2017-05-25;4.0736;3.9296;2.952
2017-05-26;4.0656;3.9216;2.9416
2017-05-27;4.0504;3.9064;2.932
2017-05-28;4.0504;3.9064;2.932
2017-05-29;4.0504;3.9064;2.932
2017-05-30;4.0504;3.9064;2.932
2017-05-31;4.0312;3.8872;2.9208
2017-06-01;4.0104;3.8664;2.9048
2017-06-02;4.0024;3.8584;2.8872
2017-06-03;3.9856;3.8416;2.8712
2017-06-04;3.9856;3.8416;2.8712
2017-06-05;3.9856;3.8416;2.8712
2017-06-06;3.9696;3.8256;2.8552
2017-06-07;3.952;3.808;2.8392
2017-06-08;3.9384;3.7944;2.8272
2017-06-09;3.9384;3.7944;2.8272
2017-06-10;3.9392;3.7952;2.8168
2017-06-11;3.9392;3.7952;2.8168
2017-06-12;3.9392;3.7952;2.8168
2017-06-13;3.9424;3.7984;2.8176
2017-06-14;3.9424;3.7984;2.8152
2017-06-15;3.9384;3.7944;2.8112
2017-06-16;3.9384;3.7944;2.8112
2017-06-17;3.9384;3.7944;2.8192
2017-06-18;3.9384;3.7944;2.8192
2017-06-19;3.9384;3.7944;2.8192
2017-06-20;3.9472;3.8032;2.8184
2017-06-21;3.9552;3.8112;2.8112
2017-06-22;3.9648;3.8208;2.8232
